Papers for Liqing Zhang, Virginia Polytechnic Institute and State University
Stefan Savage ; ACM Conference on Computer and Communications Security 2008
Stefan Savage ; ACM Conference on Computer and Communications Security 2012
Stefan Savage ; ACM Conference on Computer and Communications Security 2014
Stefan Savage ; ACM Conference on Computer and Communications Security 2014
Stefan Savage ; ACM Conference on Computer and Communications Security 2008
Stefan Savage ; SIGMETRICS 2003
Stefan Savage ; PODC 2004
Stefan Savage ; OSDI 2012
Stefan Savage ; OSDI 2008
Stefan Savage ; OSDI 2004
Stefan Savage ; INFOCOM 2003
Stefan Savage ; INFOCOM 2000
Stefan Savage ; INFOCOM 2005
Stefan Savage ; INFOCOM 2000
Stefan Savage ; WWW 2014
Stefan Savage ; SOSP 2005
Stefan Savage ; KDD 2010
Stefan Savage ; KDD 2014
Stefan Savage ; KDD 2009
Stefan Savage ; IEEE Symposium on Security and Privacy 2010
Stefan Savage ; IEEE Symposium on Security and Privacy 2011
Stefan Savage ; USENIX Security Symposium 2011
Stefan Savage ; USENIX Security Symposium 2012
Stefan Savage ; USENIX Security Symposium 2011
Stefan Savage ; USENIX Security Symposium 2001
Stefan Savage ; USENIX Security Symposium 2010
Stefan Savage ; USENIX Security Symposium 2011
Stefan Savage ; ICML 2009
Stefan Savage ; SIGCOMM 2010
Stefan Savage ; SIGCOMM 2008
Stefan Savage ; SIGCOMM 2000
Stefan Savage ; SIGCOMM 2003
Stefan Savage ; SIGCOMM 2006
Stefan Savage ; SIGCOMM 2007
Stefan Savage ; ASPLOS 2011


Papers for Doug L. James, Cornell University
Doug L. James ; ACM Trans. Graph. 2005
Doug L. James ; ACM Trans. Graph. 2007
Doug L. James ; ACM Trans. Graph. 2010
Doug L. James ; ACM Trans. Graph. 2010
Doug L. James ; ACM Trans. Graph. 2002
Doug L. James ; ACM Trans. Graph. 2003
Doug L. James ; ACM Trans. Graph. 2005
Doug L. James ; ACM Trans. Graph. 2009
Doug L. James ; ACM Trans. Graph. 2004
Doug L. James ; ACM Trans. Graph. 2012
Doug L. James ; ACM Trans. Graph. 2009
Doug L. James ; ACM Trans. Graph. 2014
Doug L. James ; ACM Trans. Graph. 2012
Doug L. James ; ACM Trans. Graph. 2011
Doug L. James ; ACM Trans. Graph. 2008
Doug L. James ; ACM Trans. Graph. 2008
Doug L. James ; ACM Trans. Graph. 2007
Doug L. James ; ACM Trans. Graph. 2012
Doug L. James ; ACM Trans. Graph. 2008
Doug L. James ; ACM Trans. Graph. 2008
Doug L. James ; ACM Trans. Graph. 2014
Doug L. James ; ACM Trans. Graph. 2011
Doug L. James ; ACM Trans. Graph. 2008
Doug L. James ; ACM Trans. Graph. 2010
Doug L. James ; ACM Trans. Graph. 2007
Doug L. James ; ACM Trans. Graph. 2012
Doug L. James ; ACM Trans. Graph. 2012
Doug L. James ; ACM Trans. Graph. 2003
Doug L. James ; ACM Trans. Graph. 2009
Doug L. James ; ACM Trans. Graph. 2008
Doug L. James ; ACM Trans. Graph. 2006
Doug L. James ; SIGGRAPH 2002
Doug L. James ; SIGGRAPH 2001

Papers for Szymon Rusinkiewicz, Princeton University
Szymon Rusinkiewicz ; ACM Trans. Graph. 2008
Szymon Rusinkiewicz ; ACM Trans. Graph. 2010
Szymon Rusinkiewicz ; ACM Trans. Graph. 2007
Szymon Rusinkiewicz ; ACM Trans. Graph. 2008
Szymon Rusinkiewicz ; ACM Trans. Graph. 2004
Szymon Rusinkiewicz ; ACM Trans. Graph. 2012
Szymon Rusinkiewicz ; ACM Trans. Graph. 2006
Szymon Rusinkiewicz ; ACM Trans. Graph. 2008
Szymon Rusinkiewicz ; ACM Trans. Graph. 2006
Szymon Rusinkiewicz ; ACM Trans. Graph. 2009
Szymon Rusinkiewicz ; ACM Trans. Graph. 2013
Szymon Rusinkiewicz ; ACM Trans. Graph. 2005
Szymon Rusinkiewicz ; ACM Trans. Graph. 2006
Szymon Rusinkiewicz ; ACM Trans. Graph. 2007
Szymon Rusinkiewicz ; ACM Trans. Graph. 2009
Szymon Rusinkiewicz ; ACM Trans. Graph. 2010
Szymon Rusinkiewicz ; ACM Trans. Graph. 2002
Szymon Rusinkiewicz ; ACM Trans. Graph. 2007
Szymon Rusinkiewicz ; ACM Trans. Graph. 2012
Szymon Rusinkiewicz ; ACM Trans. Graph. 2008
Szymon Rusinkiewicz ; ACM Trans. Graph. 2005
Szymon Rusinkiewicz ; ACM Trans. Graph. 2004
Szymon Rusinkiewicz ; ACM Trans. Graph. 2004
Szymon Rusinkiewicz ; ACM Trans. Graph. 2007
Szymon Rusinkiewicz ; ACM Trans. Graph. 2013
Szymon Rusinkiewicz ; ACM Trans. Graph. 2009
Szymon Rusinkiewicz ; ACM Trans. Graph. 2010
Szymon Rusinkiewicz ; ACM Trans. Graph. 2003
Szymon Rusinkiewicz ; ACM Trans. Graph. 2006
Szymon Rusinkiewicz ; ACM Trans. Graph. 2006
Szymon Rusinkiewicz ; ACM Trans. Graph. 2014
Szymon Rusinkiewicz ; ACM Trans. Graph. 2009
Szymon Rusinkiewicz ; SIGGRAPH 2002
Szymon Rusinkiewicz ; SIGGRAPH 2000
Szymon Rusinkiewicz ; SIGGRAPH 2000

Papers for Xuxian Jiang, North Carolina State University
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2009
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2012
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2007
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2013
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2011
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2010
Xuxian Jiang ; ACM Conference on Computer and Communications Security 2009
Xuxian Jiang ; IEEE Symposium on Security and Privacy 2010
Xuxian Jiang ; IEEE Symposium on Security and Privacy 2012
Xuxian Jiang ; USENIX Security Symposium 2004

Papers for Robert Morris, Massachusetts Institute of Technology
Robert Morris ; ACM Conference on Computer and Communications Security 2007
Robert Morris ; ACM Conference on Computer and Communications Security 2002
Robert Morris ; PODC 2003
Robert Morris ; OSDI 2010
Robert Morris ; OSDI 2002
Robert Morris ; OSDI 2004
Robert Morris ; OSDI 2014
Robert Morris ; OSDI 2008
Robert Morris ; OSDI 2006
Robert Morris ; INFOCOM 2012
Robert Morris ; INFOCOM 2000
Robert Morris ; INFOCOM 2000
Robert Morris ; INFOCOM 2005
Robert Morris ; SOSP 2005
Robert Morris ; SOSP 2001
Robert Morris ; SOSP 2007
Robert Morris ; SOSP 2001
Robert Morris ; SIGCOMM 2005
Robert Morris ; SIGCOMM 2004
Robert Morris ; SIGCOMM 2001
Robert Morris ; SIGCOMM 2004
Robert Morris ; ASPLOS 2002


Papers for Amélie Marian, Rutgers - State University of New Jersey - New Brunswick
Amélie Marian ; PVLDB 2010
Amélie Marian ; VLDB 2003
Amélie Marian ; VLDB 2001
Amélie Marian ; VLDB 2005
Amélie Marian ; VLDB 2003

Papers for Seth Copen Goldstein, Carnegie Mellon University
Seth Copen Goldstein ; AAAI 2005
Seth Copen Goldstein ; ISCA 2001
Seth Copen Goldstein ; PLDI 2006
Seth Copen Goldstein ; ASPLOS 2004
Seth Copen Goldstein ; ASPLOS 2006

Papers for Sean Hallgren, Pennsylvania State University
Sean Hallgren ; STOC 2002
Sean Hallgren ; STOC 2000
Sean Hallgren ; STOC 2005
Sean Hallgren ; STOC 2006
Sean Hallgren ; STOC 2014
Sean Hallgren ; SODA 2010
Sean Hallgren ; SODA 2003
Sean Hallgren ; FOCS 2000


Papers for Shih-Fu Chang, Columbia University
Shih-Fu Chang ; AAAI 2015
Shih-Fu Chang ; KDD 2010
Shih-Fu Chang ; NIPS 2012
Shih-Fu Chang ; NIPS 2014
Shih-Fu Chang ; NIPS 2013
Shih-Fu Chang ; ICML 2014
Shih-Fu Chang ; ICML 2012
Shih-Fu Chang ; ICML 2011
Shih-Fu Chang ; ICML 2010
Shih-Fu Chang ; ICML 2009
Shih-Fu Chang ; ICML 2010
Shih-Fu Chang ; ICML 2008


Papers for Bobby Bhattacharjee, University of Maryland - College Park
Bobby Bhattacharjee ; ACM Conference on Computer and Communications Security 2005
Bobby Bhattacharjee ; SIGMETRICS 2007
Bobby Bhattacharjee ; SIGMETRICS 2003
Bobby Bhattacharjee ; SIGMETRICS 2011
Bobby Bhattacharjee ; PODC 2005
Bobby Bhattacharjee ; INFOCOM 2009
Bobby Bhattacharjee ; INFOCOM 2005
Bobby Bhattacharjee ; INFOCOM 2006
Bobby Bhattacharjee ; INFOCOM 2011
Bobby Bhattacharjee ; INFOCOM 2005
Bobby Bhattacharjee ; INFOCOM 2009
Bobby Bhattacharjee ; SOSP 2015
Bobby Bhattacharjee ; IEEE Symposium on Security and Privacy 2002
Bobby Bhattacharjee ; SIGCOMM 2015
Bobby Bhattacharjee ; SIGCOMM 2002
Bobby Bhattacharjee ; SIGCOMM 2009
Bobby Bhattacharjee ; SIGCOMM 2008

Papers for Tao Xie, University of Illinois at Urbana-Champaign
Tao Xie ; ACM Conference on Computer and Communications Security 2014
Tao Xie ; SIGMETRICS 2008
Tao Xie ; WWW 2013
Tao Xie ; WWW 2007
Tao Xie ; WWW 2015
Tao Xie ; OOPSLA 2011
Tao Xie ; ASPLOS 2014
Tao Xie ; ICSE 2013
Tao Xie ; ICSE 2012
Tao Xie ; ICSE 2013
Tao Xie ; ICSE 2009
Tao Xie ; ICSE 2011
Tao Xie ; ICSE 2011
