name , institution
Ian Michael Terry , Waterloo
Ming Li , Waterloo
Nancy A. Day , Waterloo
Naomi Nishimura , Waterloo
Ondrej Lhoták , Waterloo
Pascal Poupart , Waterloo
Peter A. Buhr , Waterloo
Peter Forsyth , Waterloo
Peter J. L. van Beek , Waterloo
Prabhakar Ragde , Waterloo
Raouf Boutaba , Waterloo
Richard Cleve , Waterloo
Richard Mann , Waterloo
Richard J. Trefler , Waterloo
Robin Cohen , Waterloo
Semih Salihoglu , Waterloo
Sergey Gorbunov , Waterloo
Shai Ben-David , Waterloo
Srinivasan Keshav , Waterloo
Stephen M. Watt , Waterloo
Stephen Mann , Waterloo
M. Tamer Özsu , Waterloo
Therese C. Biedl , Waterloo
Tim Brecht , Waterloo
Timothy Chan , Waterloo
Urs Hengartner , Waterloo
William Cowan , Waterloo
Yuying Li , Waterloo
