David R. O'Hallaron,Carnegie Mellon University
Edmund M. Clarke,Carnegie Mellon University
Emma Brunskill,Carnegie Mellon University
Eric Nyberg,Carnegie Mellon University
Eric P. Xing,Carnegie Mellon University
Frank Pfenning,Carnegie Mellon University
Garth Gibson,Carnegie Mellon University
Gary Miller,Carnegie Mellon University
Ge Yang,Carnegie Mellon University
Gregory R. Ganger,Carnegie Mellon University
Gustavo K. Rohde,Carnegie Mellon University
Guy E. Blelloch,Carnegie Mellon University
Howie Choset,Carnegie Mellon University
Hui Zhang,Carnegie Mellon University
J. Andrew Bagnell,Carnegie Mellon University
J. Zico Kolter,Carnegie Mellon University
Jacobo Carrasquel,Carnegie Mellon University
Jaime G. Carbonell,Carnegie Mellon University
James C. Hoe,Carnegie Mellon University
James D. Herbsleb,Carnegie Mellon University
James H. Morris,Carnegie Mellon University
Jamie Callan,Carnegie Mellon University
Jason Hong,Carnegie Mellon University
Javier Lopez,Carnegie Mellon University
Jean Yang, Carnegie Mellon University
Jeannette M. Wing,Carnegie Mellon University
Jeffrey Bigham,Carnegie Mellon University
Jeffrey L. Eppinger,Carnegie Mellon University
Jennifer Mankoff,Carnegie Mellon University
Jessica Hammer,Carnegie Mellon University
Jessica K. Hodgins,Carnegie Mellon University
Jodi Forlizzi,Carnegie Mellon University
John Anderson,Carnegie Mellon University
John Zimmerman,Carnegie Mellon University
Jonathan Aldrich,Carnegie Mellon University
Justine Cassell,Carnegie Mellon University
Karl Crary,Carnegie Mellon University
Kathleen M. Carley,Carnegie Mellon University
Kathryn Roeder,Carnegie Mellon University
Kayvon Fatahalian,Carnegie Mellon University
Kenneth R. Koedinger,Carnegie Mellon University
Larry A. Wasserman,Carnegie Mellon University
Laura Dabbish,Carnegie Mellon University
Lenore Blum,Carnegie Mellon University
Lorrie Faith Cranor,Carnegie Mellon University
Luis von Ahn,Carnegie Mellon University
Mahadev Satyanarayanan,Carnegie Mellon University
Manuel Blum,Carnegie Mellon University
Manuela M. Veloso,Carnegie Mellon University
Mary Shaw,Carnegie Mellon University
Matt Fredrikson, Carnegie Mellon University
Matthew T. Mason,Carnegie Mellon University
Michael Erdmann,Carnegie Mellon University
Michael I. Shamos,Carnegie Mellon University
Mor Harchol-Balter,Carnegie Mellon University
Nancy S. Pollard,Carnegie Mellon University
Noah A. Smith,Carnegie Mellon University
Norman M. Sadeh,Carnegie Mellon University
Onur Mutlu,Carnegie Mellon University
Peter Steenkiste,Carnegie Mellon University
Raj Reddy,Carnegie Mellon University
Randal E. Bryant,Carnegie Mellon University
Richard Scheines,Carnegie Mellon University
Richard Stern,Carnegie Mellon University
Robert F. Murphy,Carnegie Mellon University
Robert Harper,Carnegie Mellon University
Robert Kass,Carnegie Mellon University
Robert Kraut,Carnegie Mellon University
Roberta L. Klatzky,Carnegie Mellon University
Roni Rosenfeld,Carnegie Mellon University
Russell Schwartz,Carnegie Mellon University
Ryan O'Donnell,Carnegie Mellon University
Ryan J. Tibshirani,Carnegie Mellon University
Sara B. Kiesler,Carnegie Mellon University
Scott Hudson,Carnegie Mellon University
Seth Copen Goldstein,Carnegie Mellon University
Seyoung Kim,Carnegie Mellon University
Srinivasan Seshan,Carnegie Mellon University
Stephen Brookes,Carnegie Mellon University
Steve Collins,Carnegie Mellon University
Steven Dow,Carnegie Mellon University
Steven Rudich,Carnegie Mellon University
Tai Sing Lee,Carnegie Mellon University
Takeo Kanade,Carnegie Mellon University
Todd C. Mowry,Carnegie Mellon University
Tom M. Mitchell,Carnegie Mellon University
Travis D. Breaux,Carnegie Mellon University
Tuomas Sandholm,Carnegie Mellon University
Umut A. Acar,Carnegie Mellon University
Venkatesan Guruswami,Carnegie Mellon University
Vincent Aleven,Carnegie Mellon University
William Cohen,Carnegie Mellon University
William L. Scherlis,Carnegie Mellon University
Yiming Yang,Carnegie Mellon University
Yuvraj Agarwal,Carnegie Mellon University
Ziv Bar-Joseph,Carnegie Mellon University
Barbara J. Grosz,Harvard University
David C. Parkes,Harvard University
David Cox,Harvard University
David M. Brooks,Harvard University
Eddie Kohler,Harvard University
H. T. Kung,Harvard University
Hanspeter Pfister,Harvard University
Harry R. Lewis,Harvard University
Jim Waldo,Harvard University
Jelani Nelson,Harvard University
Jonathan Zittrain,Harvard University
Krzysztof Gajos,Harvard University
Leslie G. Valiant,Harvard University
Margo I. Seltzer,Harvard University
Michael Mitzenmacher,Harvard University
Michael D. Smith,Harvard University
Radhika Nagpal,Harvard University
Ryan P. Adams,Harvard University
Salil P. Vadhan,Harvard University
Stephen Chong,Harvard University
Steven J. Gortler,Harvard University
Stuart M. Shieber,Harvard University
Yaron Singer,Harvard University
Yiling Chen,Harvard University
Anastasios Sidiropoulos,Ohio State University
Anish Arora,Ohio State University
Arnab Nandi,Ohio State University
Atanas Rountev,Ohio State University
Brian Kulis,Ohio State University
Christopher Stewart,Ohio State University
Chunyi Peng,Ohio State University
Dhabaleswar K. Panda,Ohio State University
DeLiang Wang,Ohio State University
Dong Xuan,Ohio State University
Eric Fosler-Lussier,Ohio State University
Facundo Mémoli,Ohio State University
Feng Qin,Ohio State University
Gagan Agrawal,Ohio State University
Han-Wei Shen,Ohio State University
Huamin Wang,Ohio State University
Jim Davis,Ohio State University
Kannan Srinivasan,Ohio State University
Kenneth J. Supowit,Ohio State University
Luis Rademacher,Ohio State University
Michael D. Bond,Ohio State University
Mikhail Belkin,Ohio State University
Neelam Soundarajan,Ohio State University
Ness B. Shroff,Ohio State University
Nicoleta Roman,Ohio State University
