name,affiliation,homepage,scholarid
Gautam Kamath 0001,New York University,http://www.gautamkamath.com,MK6zHkYAAAAJ
Gavin Brown 0001,University of Manchester,https://www.research.manchester.ac.uk/portal/Gavin.Brown.html,bdugqKUAAAAJ
Gavin Doherty,Trinity College Dublin,https://www.scss.tcd.ie/Gavin.Doherty,vVG6H9AAAAAJ
Gavin Lowe,University of Oxford,http://www.cs.ox.ac.uk/gavin.lowe,NOSCHOLARPAGE
Gavin McArdle,University College Dublin,https://people.ucd.ie/gavin.mcardle,07pHQ-IAAAAJ
Gavriil Tsechpenakis,IUPUI,http://cs.iupui.edu/people/gavriil-tsechpenakis,y7uuI7gAAAAJ
Gavrill Tsechpenakis,IUPUI,http://cs.iupui.edu/people/gavriil-tsechpenakis,y7uuI7gAAAAJ
Gayane Vardoyan,TU Delft,https://people.cs.umass.edu/~gvardoyan/,iSt_oLcAAAAJ
Gayathri Ananthanarayanan,IIT Dharwad,https://homepages.iitdh.ac.in/~gayathri/,yMWoQAEAAAAJ
Gaye Stephens,Trinity College Dublin,https://www.tcd.ie/research/profiles/?profile=gstephen,NOSCHOLARPAGE
Ge Li 0001,Peking University,http://sei.pku.edu.cn/~lige,NOSCHOLARPAGE
Ge Wang 0003,Xi'an Jiaotong University,http://gr.xjtu.edu.cn/web/gewang,ngEGALwAAAAJ
Geber L. Ramalho,UFPE,https://www.cin.ufpe.br/~glr,U970EO4AAAAJ
Geber Lisboa Ramalho,UFPE,https://www.cin.ufpe.br/~glr,U970EO4AAAAJ
Gedare Bloom,UCCS,https://gedare.github.io,8ZBnSl4AAAAJ
Gedas Bertasius,University of North Carolina,https://cs.unc.edu/person/gedas-bertasius,8FWkjw8AAAAJ
Geehyuk Lee,KAIST,http://hcil.kaist.ac.kr/?page_id=349,wBXkmcQAAAAJ
Geela Venise Firmalo Fabic,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/1017400-geela-chee,p53m_jIAAAAJ
Geert De Maere,University of Nottingham,https://www.nottingham.ac.uk/computerscience/people/geert.de_maere,gS6tO4YAAAAJ
Geert-Jan Houben,TU Delft,http://www.wis.ewi.tudelft.nl/houben,7SLMWEcAAAAJ
Geevarghese Philip,CMI,http://www.cmi.ac.in/~gphilip,3QM3vr4AAAAJ
Geguang Pu,East China Normal University,https://faculty.ecnu.edu.cn/_s43/pgg/main.psp,niQAGcQAAAAJ
Geir E. Dullerud,Univ. of Illinois at Urbana-Champaign,https://mechanical.illinois.edu/directory/faculty/dullerud,afhaKpYAAAAJ
Gemma Roig,Goethe University Frankfurt,http://www.cvai.cs.uni-frankfurt.de/team.html,6MjMhT4AAAAJ
Gen-Huey Chen,National Taiwan University,http://www.csie.ntu.edu.tw/~ghchen,NOSCHOLARPAGE
Gena Hahn,University of Montreal,http://www.iro.umontreal.ca/~hahn,NOSCHOLARPAGE
Genaína Nunes Rodrigues,Universidade de Brasília,http://cic.unb.br/~genaina,qCUFz5AAAAAJ
Gene Cooperman,Northeastern University,http://www.ccs.neu.edu/home/gene,A9tBw58AAAAJ
Gene Louis Kim,University of South Florida,https://cse.usf.edu/~genekim/,9jFmOukAAAAJ
Gene Myers [CBG],Max Planck Society,https://www.mpi-cbg.de/research-groups/current-groups/gene-myers/group-leader,jlas1aMAAAAJ
Gene Spafford,Purdue University,https://spaf.cerias.purdue.edu,MkC5kHcAAAAJ
Gene Tsudik,Univ. of California - Irvine,http://www.ics.uci.edu/~gts,WLvuu74AAAAJ
Geng Hong,Fudan University,https://ghong.site,XgBZfiUAAAAJ
Geng Wang,Shanghai Jiao Tong University,http://www.se.sjtu.edu.cn/teacher/teacherdetail.aspx?id=25,4mKWajkAAAAJ
Geng Yuan,University of Georgia,https://geng-yuan.com,tBIAgtgAAAAJ
Genghui Li,Shenzhen University,https://www.scholat.com/genghuili,3WixDRMAAAAJ
Gennady L. Andrienko,City University of London,https://www.city.ac.uk/people/academics/gennady-andrienko,R370BREAAAAJ
Gennady Pekhimenko,University of Toronto,http://www.cs.toronto.edu/~pekhimenko,ZgqVLuMAAAAJ
Gennaro Costagliola,University of Salerno,http://www.unisa.it/docenti/gennarocostagliola/en/index,j2roIOUAAAAJ
Gennaro Parlato,University of Molise,http://docenti.unimol.it/index.php?u=gennaro.parlato,qH4ssmQAAAAJ
Gennaro Percannella,University of Salerno,http://mivia.unisa.it/people/percannella,Uhn4uusAAAAJ
Genny Tortora,University of Salerno,http://www.unisa.it/docenti/genoveffatortora/index,NOSCHOLARPAGE
Genoveffa Tortora,University of Salerno,http://www.unisa.it/docenti/genoveffatortora/index,NOSCHOLARPAGE
Geoff Bowker,Univ. of California - Irvine,http://www.ics.uci.edu/~gbowker,NOSCHOLARPAGE
Geoff F. Kaufman,Carnegie Mellon University,https://www.hcii.cmu.edu/people/geoff-kaufman,acfjWDAAAAAJ
Geoff Holmes 0001,University of Waikato,https://www.cms.waikato.ac.nz/people/geoff,0rwvyVEAAAAJ
Geoff Kaufman,Carnegie Mellon University,https://www.hcii.cmu.edu/people/geoff-kaufman,acfjWDAAAAAJ
Geoff Leach,RMIT University,https://www.rmit.edu.au/contact/staff-contacts/academic-staff/l/leach-mr-geoff,5RrkpIQAAAAJ
Geoff Nitschke,University of Cape Town,https://people.cs.uct.ac.za/~gnitschke,jgX5HxoAAAAJ
Geoff S. Nitschke,University of Cape Town,https://people.cs.uct.ac.za/~gnitschke,jgX5HxoAAAAJ
Geoff Stuart Nitschke,University of Cape Town,https://people.cs.uct.ac.za/~gnitschke,jgX5HxoAAAAJ
Geoff Sutcliffe,University of Miami,http://www.cs.miami.edu/~geoff,lzMFBvQAAAAJ
Geoff V. Merrett,University of Southampton,https://www.ecs.soton.ac.uk/people/gm1r07,rKw0hb8AAAAJ
Geoff Voelker,Univ. of California - San Diego,http://cseweb.ucsd.edu/~voelker,ZfDtNpUAAAAJ
Geoff Wyvill,University of Otago,http://www.cs.otago.ac.nz/staff/Geoff_Wyvill,NOSCHOLARPAGE
Geoffrey Brown,Indiana University,http://homes.soic.indiana.edu/geobrown,PrxFp1MAAAAJ
Geoffrey C. Bowker,Univ. of California - Irvine,http://www.ics.uci.edu/~gbowker,NOSCHOLARPAGE
Geoffrey C. Fox,University of Virginia,https://engineering.virginia.edu/faculty/geoffrey-c-fox,dJ-fD-sAAAAJ
Geoffrey Charles Fox,University of Virginia,https://engineering.virginia.edu/faculty/geoffrey-c-fox,dJ-fD-sAAAAJ
Geoffrey G. Xie,Naval Postgraduate School,http://faculty.nps.edu/xie,kEM42bEAAAAJ
Geoffrey Holmes 0001,University of Waikato,https://www.cms.waikato.ac.nz/people/geoff,0rwvyVEAAAAJ
