name,affiliation,homepage,scholarid
Abhishek Mishra,BITS Pilani,http://www.bits-pilani.ac.in/pilani/abhishekmisra/profile,Ayz2rOwAAAAJ
Abhishek Sarkar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,SV0gEjQAAAAJ
Abhishek Srivastava,IIT Indore,http://cse.iiti.ac.in/faculty.html,8DUQgIIAAAAJ
Abhradeep Guha Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,1rV69hMAAAAJ
Abhradeep Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,1rV69hMAAAAJ
Abilio Lucena,UFRJ,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/2201-abiliolucena,_YS2DcIAAAAJ
Abir Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ
Abolfazl Asudeh,University of Illinois at Chicago,https://asudeh.github.io,cJXIgasAAAAJ
Abolfazl Razi,Northern Arizona University,https://nau.edu/siccs/faculty/abolfazl-razi,DhwC8gsAAAAJ
Abolfazl S. Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,rJ-biB0AAAAJ
Abolfazl Seyed Motahari,Sharif University of Technology,http://ce.sharif.edu/faculty/abolfazl-motahari,rJ-biB0AAAAJ
Abraham Bernstein,University of Zurich,http://www.ifi.uzh.ch/ddis/people/bernstein.html,ZYNjTykAAAAJ
Abraham Duarte,Universidad Rey Juan Carlos,http://grafo.etsii.urjc.es/group-member/abrahamduarte,wsBEPbYAAAAJ
Abraham G. Campbell,University College Dublin,https://people.ucd.ie/abey.campbell,TWRYXGMAAAAJ
Abraham Silberschatz,Yale University,http://www.cs.yale.edu/~avi,-YvgZDEAAAAJ
Abram Hindle,University of Alberta,http://softwareprocess.es,vuT1ZlUAAAAJ
Abtin Rahimian,University of Colorado Boulder,http://home.cs.colorado.edu/~abra3237,2iXwFdsAAAAJ
Abu Asaduzzaman,Wichita State University,https://www.wichita.edu/profiles/academics/engineering/ECE/Asaduzzaman-Abu.php,WYv3oSEAAAAJ
Abu Sayed Md. Latiful Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ
Abul Kashem,BUET,https://cse.buet.ac.bd/faculty_list/detail/kashem,NOSCHOLARPAGE
Abusayeed M. Saifullah,Iowa State University,https://www.cs.iastate.edu/abu,CYwffSUAAAAJ
Abusayeed Saifullah,Iowa State University,https://www.cs.iastate.edu/abu,CYwffSUAAAAJ
Abutalib Aghayev,Pennsylvania State University,https://agayev.github.io,Kfb6IZ4AAAAJ
Abyayananda Maiti,IIT Patna,https://iitp.ac.in/index.php/departments/computer-center/people/head/1095-dr-abyayananda-maiti.html,N49XT94AAAAJ
Achi Brandt,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2041,NOSCHOLARPAGE
Achille Pattavina,Politecnico di Milano,http://home.deib.polimi.it/pattavina,NOSCHOLARPAGE
Achim Blumensath,Masaryk University,https://www.muni.cz/en/people/237782,NOSCHOLARPAGE
Achim D. Brucker,University of Exeter,http://emps.exeter.ac.uk/computer-science/staff/ab1185,ZWePF1QAAAAJ
Achim Ebert,TU Kaiserslautern,https://hci.uni-kl.de/people/achim-ebert,tnoNj9gAAAAJ
Achim Jung,University of Birmingham,https://www.birmingham.ac.uk/staff/profiles/computer-science/jung-achim.aspx,hCqqihQAAAAJ
Achim Schweikard,University of Lübeck,https://www.rob.uni-luebeck.de/index.php?id=321,NOSCHOLARPAGE
Achim Streit,Karlsruhe Institute of Technology,http://www.scc.kit.edu/personen/achim.streit.php,i72A44MAAAAJ
Achutavarrier Prasad Vinod,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE
Ada Gavrilovska,Georgia Institute of Technology,http://www.cc.gatech.edu/home/ada,OlRjTCIAAAAJ
Ada Wai-Chee Fu,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/~adafu,tcwyqtUAAAAJ
Adalbert Gerald Soosai Raj,Univ. of California - San Diego,https://adalbertgerald.github.io,0TxoLzMAAAAJ
Adalberto L. Simeone,KU Leuven,https://www.adalsimeone.me,NwkRNhkAAAAJ
Adalberto Lafcadio Simeone,KU Leuven,https://www.adalsimeone.me,NwkRNhkAAAAJ
Adam A. Porter,University of Maryland - College Park,https://www.cs.umd.edu/users/aporter,j7F7yq0AAAAJ
Adam Bargteil,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~adamb,fArWdfAAAAAJ
Adam Bates 0001,Univ. of Illinois at Urbana-Champaign,http://adambates.org,1dVglBkAAAAJ
Adam Belay,Massachusetts Institute of Technology,https://engineering.mit.edu/faculty-research/year-2017,AKQec5wAAAAJ
Adam Chlipala,Massachusetts Institute of Technology,http://adam.chlipala.net,Imh0w3AAAAAJ
Adam Czajka,University of Notre Dame,https://engineering.nd.edu/profiles/aczajka,_OObpEkAAAAJ
Adam D. Smith,Boston University,http://www.cse.psu.edu/~ads22,fkGi-JMAAAAJ
Adam Doupé,Arizona State University,http://adamdoupe.com,hsJqhNAAAAAJ
Adam Finkelstein,Princeton University,https://www.cs.princeton.edu/~af,a959F6AAAAAJ
Adam Hahn,Washington State University,http://www.eecs.wsu.edu/~ahahn/index.html,nGBlVWwAAAAJ
Adam Herout,Brno University of Technology,https://www.fit.vut.cz/person/herout,qQDbJDMAAAAJ
Adam J. Aviv,George Washington University,https://adamaviv.com,ExgxufEAAAAJ
Adam J. Lee,University of Pittsburgh,http://people.cs.pitt.edu/~adamlee,1IoFK0oAAAAJ
Adam Jatowt,University of Innsbruck,https://adammo12.github.io/adamjatowt,l2vn9GoAAAAJ
Adam Klivans,University of Texas at Austin,https://www.cs.utexas.edu/~klivans,UD87zMYAAAAJ
Adam Krzyzak,Concordia University,http://users.encs.concordia.ca/~krzyzak,fYbg3F8AAAAJ
Adam Lopez,University of Edinburgh,http://alopez.github.io,u4sxKZwAAAAJ
Adam M. Bates,Univ. of Illinois at Urbana-Champaign,http://adambates.org,1dVglBkAAAAJ
Adam M. Smith 0001,Univ. of California - Santa Cruz,https://adamsmith.as,78OLNd4AAAAJ
Adam Morrison 0001,Tel Aviv University,http://www.cs.tau.ac.il/~mad,GMEoZR0AAAAJ
Adam O'Neill,University of Massachusetts Amherst,https://www.cics.umass.edu/people/oneill-adam,SIFRrBIAAAAJ
Adam P. Chester,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/adam_chester,ogEgU6HzEJQC
