name,affiliation,homepage,scholarid,orcid
Xiaofei Liao,HUST,http://faculty.hust.edu.cn/xfliao/en/index.htm,Y7raoWUAAAAJ,0000-0001-6302-813X
Xiaofei Xie,Singapore Management University,https://scis.smu.edu.sg/faculty/profile/6291/xie-xiaofei,FfcZfJgAAAAJ,0000-0002-1288-6502
Xiaofei Zhang 0002,University of Memphis,http://www.cs.memphis.edu/~xzhang12,IBy4k-4AAAAJ,0000-0003-2633-9929
Xiaofen Lu,SUSTech,http://cse.sustech.edu.cn/faculty/~luxf,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaofen Wang,UESTC,https://www.en.scse.uestc.edu.cn/info/1085/2106.htm,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaofeng Chen 0001,Xidian University,https://web.xidian.edu.cn/xfchen,-3WhJecAAAAJ,0000-0001-5858-5070
Xiaofeng Gao 0001,Shanghai Jiao Tong University,http://www.cs.sjtu.edu.cn/~gao-xf,YfMPjhAAAAAJ,0000-0003-1776-8799
Xiaofeng Liao,Chongqing University,http://www.cs.cqu.edu.cn/info/1331/4244.htm,VpAZWLIAAAAJ,0000-0000-0000-0000
Xiaofeng Meng 0001,Renmin University of China,http://idke.ruc.edu.cn/xfmeng/index.html,PTwcvk4AAAAJ,0000-0002-7889-2120
Xiaofeng Tao,BUPT,https://scss.bupt.edu.cn/info/1063/1222.htm,lFxm5ZIAAAAJ,0000-0001-9518-1622
XiaoFeng Wang 0001,Nanyang Technological University,https://wangxiaofeng7.github.io,pONu-5EAAAAJ,0000-0002-0607-4946
Xiaofeng Wu 0002,City University of Macau,https://fds.cityu.edu.mo/en/members/287,4SB1I5oAAAAJ,0009-0001-6446-5769
Xiaofeng Zhu 0001,UESTC,https://www.scse.uestc.edu.cn/info/1081/11990.htm,-bk1CrcAAAAJ,0000-0001-6840-0578
Xiaogang Jin 0001,Zhejiang University,http://www.cad.zju.edu.cn/home/jin,yryOvLwAAAAJ,0000-0001-7339-2920
Xiaogang Jin 0002,Zhejiang University,http://mypage.zju.edu.cn/0096364,tYqG3CAAAAAJ,0000-0000-0000-0000
Xiaogang Ma 0001,University of Idaho,http://www.uidaho.edu/engr/departments/cs/our-people/faculty/xiaogang-ma,o4v-pvoAAAAJ,0000-0002-9110-7369
Xiaogang Wang 0001,Chinese University of Hong Kong,http://www.ee.cuhk.edu.hk/~xgwang,B5JgjsAAAAJ,0000-0000-0000-0000
Xiaogang Zhu 0001,Adelaide University,https://www.adelaide.edu.au/directory/xiaogang.zhu,rav4c-0AAAAJ,0000-0002-0647-4747
Xiaoguang Han 0001,CUHK (SZ),https://mypage.cuhk.edu.cn/academics/hanxiaoguang,z-rqsR4AAAAJ,0000-0003-0162-3296
Xiaoguang Liu 0001,Nankai University,https://cc.nankai.edu.cn/2021/0323/c13619a548878/page.htm,vcMYjXgAAAAJ,0000-0002-9010-3278
Xiaoguang Niu,Wuhan University,https://cs.whu.edu.cn/info/1019/2507.htm,wxRS8nIAAAAJ,0000-0000-0000-0000
Xiaoguang Wang 0003,University of Illinois at Chicago,https://xiaoguang.wang,Sy-oJuIAAAAJ,0000-0001-5055-4552
Xiaohan Yu 0001,Macquarie University,https://xiaohanyu-gu.github.io,3PURN9QAAAAJ,0000-0001-6186-0520
Xiaohan Zhang 0001,Fudan University,https://xhzhang.github.io,Qe-LKawAAAAJ,0000-0000-0000-0000
Xiaohao Cai,University of Southampton,https://www.ecs.soton.ac.uk/people/xc1f20,MOjShggAAAAJ,0000-0003-0924-2834
Xiaohe Wu,Harbin Institute of Technology,http://homepage.hit.edu.cn/wuxiaohe,SluULSIAAAAJ,0000-0001-6884-9121
Xiaoheng Deng,Central South University,https://faculty.csu.edu.cn/dengxiaoheng/zh_CN/index.htm,zwmacb4AAAAJ,0000-0003-2740-8025
Xiaohong Gao,Middlesex University,http://www.mitime.org,D4AqjAcAAAAJ,0000-0000-0000-0000
Xiaohong Guan,Xi'an Jiaotong University,http://www.xjtu.edu.cn/jsnr.jsp?urltype=tree.TreeTempUrl&wbtreeid=1632&wbwbxjtuteacherid=502,NOSCHOLARPAGE,0000-0002-8826-0362
Xiaohong Jiang,Zhejiang University,http://mypage.zju.edu.cn/jiangxh,NOSCHOLARPAGE,0000-0000-0000-0000
Xiaohong Liu 0001,Shanghai Jiao Tong University,https://jhc.sjtu.edu.cn/~xiaohongliu,Tq2hoMQAAAAJ,0000-0001-6377-4730
Xiaohong W. Gao,Middlesex University,http://www.mitime.org,D4AqjAcAAAAJ,0000-0000-0000-0000
