name,affiliation,homepage,scholarid
Ping Luo 0002,University of Hong Kong,http://luoping.me,aXdjxb4AAAAJ
Ping Sun,Tongji University,https://sse.tongji.edu.cn/Data/View/2831,NOSCHOLARPAGE
Ping Tan,Simon Fraser University,http://www.cs.sfu.ca/~pingtan,konovGYAAAAJ
Ping Yang 0002,Binghamton University,http://www.cs.binghamton.edu/~pyang,0hTZUnYAAAAJ
Ping Yu 0002,Nanjing University,http://ics.nju.edu.cn/people/pingyu,LqQ0YXUAAAAJ
Ping Zhang 0016,Ohio State University,https://web.cse.ohio-state.edu/~zhang.10631,E3WyjZUAAAAJ
Ping-Chun Hsieh,National Chiao Tung University,https://pinghsieh.github.io,ix38JgoAAAAJ
Pingzhong Tang,Tsinghua University,http://iiis.tsinghua.edu.cn/~kenshin,NOSCHOLARPAGE
Pino Persiano,University of Salerno,http://www.di.unisa.it/~giuper,wbQQcfQAAAAJ
Pinyan Lu,SUFE,http://itcs.shufe.edu.cn/pinyan,KFQERBwAAAAJ
Piotr Berman,Pennsylvania State University,https://profiles.psu.edu/profiles/display/112545,NOSCHOLARPAGE
Piotr Bilinski,University of Warsaw,http://www.piotr-bilinski.com,w_m_VRQAAAAJ
Piotr Didyk,Università della Svizzera italiana,https://www.pdf.inf.usi.ch/people/piotr,kH5VxAIAAAAJ
Piotr Hofman,University of Warsaw,https://www.mimuw.edu.pl/~ph209519,HRFzDfoAAAAJ
Piotr Indyk,Massachusetts Institute of Technology,https://people.csail.mit.edu/indyk,oOwNKsAAAAAJ
Piotr J. Gmytrasiewicz,University of Illinois at Chicago,https://www.cs.uic.edu/bin/view/Piotr/WebHome,NOSCHOLARPAGE
Piotr Krysta,University of Liverpool,http://www.csc.liv.ac.uk/~piotr,Pe39BdUAAAAJ
Piotr Lipinski,University of Wroclaw,http://www.ii.uni.wroc.pl/~lipinski,NOSCHOLARPAGE
Piotr Sankowski,University of Warsaw,http://duch.mimuw.edu.pl/~sank/wordpress,-5LVg-0AAAAJ
Piotr Skowron 0001,University of Warsaw,https://www.mimuw.edu.pl/~ps219737,HKy4T5kAAAAJ
Piotr Wasilewski,University of Warsaw,http://duch.mimuw.edu.pl/~piotr/en/bio,BHurJToAAAAJ
Piotr Wieczorek,University of Wroclaw,http://www.ii.uni.wroc.pl/~piotrek,EGXCyygAAAAJ
Piotr Witkowski 0001,University of Wroclaw,http://www.pwit.info,Iwr4uBUAAAAJ
