name,date
John Wawrzynek,1509002570.74
Huan Long,1509026713.14
Robert J. Sheehan,1509029321.30
Trevor Cohn,1509032916.12
Søren Ingvor Olsen,1509029092.14
Roel Vertegaal,1509033131.94
Tomasz Imielinski,1508796912.84
Marleen de Bruijne,1509023921.17
Valerio Pascucci,1508800628.73
Martijn Stam,1509031615.53
Tze-Yun Leong,1509017637.88
Rajib Lochan Das,1509026669.86
Chiara Francalanci,1509117244.16
Stephen Gould,1509033526.65
Vijay Kumar 0001,1509001497.57
Qian-Ping Gu,1509035653.73
Leon van der Torre,1509026639.97
Mark Dredze,1508954359.63
Wim van Dam,1508831820.74
Edmund M. Clarke,1508718617.93
Chiranjoy Chattopadhyay,1509024108.52
Andrea Grimes Parker,1508802392.19
Kyriakos Mouratidis,1509032131.15
Jakub Szefer,1508954479.67
Gopal Gupta,1508966955.02
Chintan Patel,1508954583.19
Harry G. Mairson,1508954674.71
Gita Reese Sukthankar,1508926352.98
José R. Herrero,1509030733.17
Brian D. Ziebart,1508928691.65
Xiaodi Wu,1508954134.47
Sukumar Nandi,1509024113.90
Shaojie Zhang,1508941395.14
Maurice F. Fallon,1508860221.09
Horácio C. Neto,1509026354.78
Douglas Stebila,1509017143.45
Tandy J. Warnow,1508716348.70
Anthony Tang 0001,1509016714.92
Peyman Afshani,1509019027.19
Gerald Penn,1508863189.78
Chiranjib Bhattacharyya,1509027533.09
Wail Gueaieb,1509027086.37
Qiang Fu,1509021815.33
Pramod Bhatotia,1508860821.01
Anna Zych,1509030256.55
Jun-yong Noh,1509027456.10
Frédéric Desprez,1509024256.16
Anne Rogers,1508954625.18
Antonio Carzaniga,1509042471.11
Alexei Drummond,1509024866.88
James J. Lu,1508929962.10
Simon J. Laing,1509027473.44
Bryan Ford,1508895895.74
Torsten Wolfgang Kuhlen,1509117476.69
Pierre Boulanger,1509020887.40
Martin Erwig,1508954666.70
Luca Mottola,1509031856.87
Kai Engelhardt,1509023729.29
Mark C. W. van Rossum,1509117077.97
Thomas Otani,1509122180.62
Bernard Gendron,1508873503.65
Cho-Jui Hsieh,1508966602.59
Siew Kei Lam,1509017618.02
Bernd Hamann,1508966271.58
Takeshi Naemura,1509035690.56
Jaroslaw Byrka,1509035473.87
Boris Köpf,1509032059.18
Walid A. Najjar,1508963528.87
Tina Eliassi-Rad,1508826516.12
Bakhadyr Khoussainov,1509019347.10
Ambedkar Dukkipati,1509023691.69
David G. Mitchell,1509020826.93
Ueli Maurer,1508859178.34
Julian Gough,1509013656.91
Johan J. Lukkien,1509028954.00
Xianghong Jasmine Zhou,1509005293.87
Douglas B. Armstrong,1509023670.13
Fabio Salice,1509021446.19
Armando Fox,1508924502.06
Shrideep Pallickara,1508938741.79
Peter Braß,1508922656.56
Sushant Sachdeva,1508858408.67
Dmitri Loguinov,1509001509.43
Frédéric Suter,1509016898.47
Jozsef Csicsvari,1509022118.15
Sushil J. Louis,1509002638.79
John Schneider,1508914543.01
Dimitris Papadopoulos,1509029591.30
Elfar Adalsteinsson,1508928637.90
Eran Yahav,1508859277.16
Emil C. Lupu,1508877668.54
Alex Biryukov,1509033798.80
Rashmi Dutta Baruah,1508879677.59
Ramez Elmasri,1509000463.69
Joel A. Tropp,1508954295.92
Kartik Gopalan,1508918952.43
Ivan I. Garibay,1508926624.44
Wesam A. Almobaideen,1509019853.32
James Won-Ki Hong,1509026324.25
Alberto Rodrigues da Silva,1509019630.18
Kuldeep Kumar,1509022521.35
Akiko Aizawa,1509030291.05
Nicholas J. A. Harvey,1508895971.98
Dana S. Richards,1508954316.65
Gong Gu,1508954549.46
Dimitris Varoutas,1509028947.74
Apostolos Gerasoulis,1508826900.45
Stephen Scott,1508954348.24
Xiaoping Chen,1508954574.14
Andrew Hamilton-Wright,1509018828.57
Seungjin Choi,1509117516.60
Matthew S. Goodwin,1508829202.78
Lingkan Gong,1509027162.21
Alan Ritter,1508833089.90
Gerd Hirzinger,1509032741.98
Deng Cai,1509032254.13
Yasutaka Furukawa,1509027984.04
Gholamreza Ghassem-Sani,1509031473.10
Anarosa A. F. Brandão,1509121635.72
Robert Hoehndorf,1509121553.03
Christopher Stewart,1508821792.97
Richard N. Taylor,1508831974.73
David Mould,1509034823.71
Kameswari Chebrolu,1508871014.16
Adrien Basso-Blandin,1509013062.12
Robert N. M. Watson,1509034137.10
Huijia Lin,1508803653.10
Diego Garbervetsky,1509117483.59
James W. Mickens,1508831290.77
David Starobinski,1508954701.38
Dan I. Moldovan,1508966006.73
Toby S. Cubitt,1509030307.94
Thomas G. Moher,1508954564.11
Thomas A. Runkler,1509033001.56
Grant E. Weddell,1509032783.40
Nigel H. Goddard,1508897639.31
Frazer K. Noble,1509017461.13
Abdullah Muzahid,1508954388.13
Eric Mercer,1508868459.19
Ahmed Helmy,1508966183.46
Mark Claypool,1508929802.35
Kaoru Sezaki,1509022563.15
Frada Burstein,1509033129.63
Matthew Turk,1508826539.70
Kaj Grønbæk,1509017520.94
Sandeep Kulkarni,1509001230.97
James F. Allen,1508876529.54
Roque Meseguer Pallares,1509029937.12
Weiwei Sun,1509031887.47
Eamonn O'Neill,1509027951.77
Fabián E. Bustamante,1508915222.63
Sara C. Madeira,1509033905.34
Alex Lascarides,1508901661.13
Budi Arief,1509044600.81
Joe Tekli,1509117792.40
Nigel P. Topham,1509032995.20
Lei Yang 0001,1508936992.47
Burkhard Stiller,1509033624.67
Ayman I. Kayssi,1509030745.18
Alexander Jung,1509033619.03
Mea Wang,1509035636.20
Elaine Cohen,1508826352.48
Christopher Kumar Anand,1509033586.26
Dana Shapira,1509032894.86
Patrick Lam,1508865855.69
Yaakov L. Varol,1508954421.57
Eve Hoggan,1509017625.37
Robert Michael Kirby,1508804637.98
Peter J. Downey,1508966961.21
William S. Evans,1508897475.92
Yaoxue Zhang,1509042410.39
Rodolfo Azevedo,1509026687.87
Parastoo Sadeghi,1509024688.15
David Sturgill,1508954242.55
Danielle Albers Szafir,1508921703.06
Arijit Das,1508934622.24
Norbert Dojer,1509024940.74
Irwin King,1509013525.16
Heng Huang,1508954410.98
H. Vincent Poor,1508930988.35
Joseph Sifakis,1508895812.32
Christof Fetzer,1509026494.58
Joseph Bonneau,1508801732.24
Markus Schneider,1508876026.84
Emily Whiting,1508917992.85
Peter K. Allen,1508718154.06
Kevin Jeffay,1508966467.42
Michael Walfish,1508834739.74
José A. B. Gerald,1509023735.52
Randall Berry,1508877839.70
Mathias Kölsch,1508933551.79
Elisabeth Oswald,1509019228.77
Ah-Hwee Tan,1509033045.72
Benoit M. Dawant,1508954564.47
Robert Williamson,1509026832.77
Tiejun Huang,1509021299.97
Bruce R. Schatz,1509000983.97
Satoru Miyano,1509017288.68
Jonathan F. Buss,1508899264.71
Mehdi Mirakhorli,1508954574.21
Sreepathi Pai,1508927273.84
Grace Hui Yang,1508911515.25
Pawel Wozny,1509117238.80
Riaz Ahmed Shaikh,1509032108.20
Albert-László Barabási,1508833153.46
David J. Kriegman,1508718811.41
Wen Dong 0001,1508942123.19
Kyle Fox,1509002689.28
Matteo Migliavacca,1509117420.11
Irina Gladkova,1508954224.44
Rajat Subhra Chakraborty,1509033100.22
Abdelhakim Hafid,1509017532.86
Forrest Sheng Bao,1508954655.41
Joydeep Chandra,1509116874.14
Jianguo Xiao,1509020183.66
Ibrahim Al-Bahadly,1509029883.69
Stefan Katzenbeisser 0001,1509033887.49
Tamal K. Dey,1508823402.24
Pierre Lescanne,1509022199.69
Carol J. Romanowski,1508969048.19
Parris K. Egbert,1508953823.30
Claude Frasson,1509034680.89
Thiab R. Taha,1508966620.89
Franck Leprévost,1509017633.19
Mário Rui Gomes,1509031331.11
Frans A. Oliehoek,1509018823.04
Wei Cheng,1508954651.94
Jonathan Cook,1508954662.59
Daniela Marghitu,1508954564.82
Robert D. van der Mei,1509025373.66
Jim Buffenbarger,1508954524.11
Naren Ramakrishnan,1508954702.37
Riccardo Bettati,1508921148.80
Prashanth L. A.,1509035614.55
Hemant Kumar Mulmudi,1509117019.74
Enrique Dunn,1508929946.39
Prasad Tadepalli,1508966019.74
Kevin Bierre,1508954529.55
Brigitte Jaumard,1509034751.85
Tracey Ho,1508917312.17
Wolfram Burgard,1509027970.98
Tommy Kaplan,1509031770.25
Gholamreza Haffari,1509033063.38
Peter R. Sutton,1509018777.07
Anton Eliëns,1509077619.09
Guilherme P. Telles,1509014519.46
Qin Zhang 0001,1508954601.26
Otto Spaniol,1509021867.29
Eric Rozier,1508954714.90
Michael Stumm,1508896943.90
Ronald J. Brachman,1508942521.90
Deeparnab Chakrabarty,1508929418.51
Hajo A. Reijers,1509026532.12
Bhiksha Ramakrishnan,1508966273.53
Alexander Kain,1508954517.29
Michael Molloy,1508896154.29
Irad Yavneh,1508898338.97
Harry Strange,1509032964.45
Weng-Fai Wong,1509033495.44
Maria Simi,1509025412.12
Geoffrey Brown,1508924087.47
D. C. Douglas Hung,1508966945.32
Caroline Uhler,1509031450.60
Shi Zhou,1509032755.57
Mike Barleyn,1509035544.85
Ana Busic,1509116058.59
Engin Kirda,1508825631.93
Leen-Kiat Soh,1508954299.40
Sujit Gujar,1509028031.40
Timothy C. Bell,1509035604.80
Michael Gastpar,1508901077.87
François Pitt,1508860389.61
Rajiv Gupta,1508963474.37
Weiming Lu,1509013476.66
Christian Theobalt,1508877189.13
Georg Klinker,1509033713.03
Virgil Gligor,1509004914.46
Michel Bidoit,1509033229.18
Chang Wen Chen,1508918020.46
Steven C. H. Hoi,1509028071.08
Ali Jaoua,1509033444.73
Sukhendu Das,1509029074.84
Giuseppe Carenini,1508893399.86
Mohamed Al Hosani,1509021903.49
Dirk Van Gucht,1508954633.66
James Andrew Smith,1509035529.23
James R. Cordy,1509032898.28
Shing-Chi Cheung,1509035373.40
Lexing Xie,1509030224.85
Anil Seth,1509013592.38
T. Venkatesh,1509033773.08
Philippe Schnoebelen,1509027807.08
Eric Fosler-Lussier,1508802410.36
André Nies,1509019915.17
Candido Cabo,1508941313.59
Jinwoo Shin,1509115984.36
Simon Delamare,1509033812.40
Layne T. Watson,1509004326.03
David A. Umphress,1508954602.10
Christian Wulff-Nilsen,1509013575.18
Peter A. N. Bosman,1509033751.79
Drew McDermott,1508954505.84
David Rajaratnam,1509024830.79
Cagdas Onal,1508954667.25
Cezara Dragoi,1509117686.95
Albert Y. Zomaya,1509034172.09
Yehuda Afek,1508897807.31
Lijun Chang,1509033358.99
Stefan Leutenegger,1508894068.00
Pawan Kumar,1509076515.77
Christophe Dubach,1508894738.57
Tae Oh,1508954720.52
Kenji Yamanishi,1509026394.26
Anil Kumar Vuppala,1509020042.23
Dimitrios Damopoulos,1508928613.51
P. Vassalos,1509033148.84
Kris De Brabanter,1508917268.08
Isaac Keslassy,1508866463.47
Ewan D. Tempero,1509022595.15
David A. Calvert,1509020002.01
Iluju Kiringa,1509035208.50
Marcus R. Frean,1509016815.17
Rajendra K. Raj,1508966152.24
Laxmi N. Bhuyan,1509004048.03
Khalid A. Qaraqe,1509028041.59
Webb Miller,1508821833.41
Madhu Mutyam,1509020109.39
Abolfazl Razi,1509002990.86
Christel Baier,1509021549.86
Umesh V. Vazirani,1509004310.45
Wan Fokkink,1509033697.50
Amnon Ta-Shma,1509121735.97
Davor Svetinovic,1509014381.67
Torsten Kuhlen,1509021534.54
B. G. Kim,1508917503.42
Christopher Batty,1508863280.06
Dianxiang Xu,1508916335.26
Lotus Goldberg,1508963626.90
Alin Dobra,1508954543.49
Kirk W. Cameron,1508911063.22
Larry Stillman,1509027549.19
Julian Togelius,1508800918.64
James H. Hill,1508963409.08
Guofeng Zhang 0001,1509023526.04
Claudia Szabo,1509116225.65
Sung Yang Bang,1509024146.60
Philippe Ezequel,1509032776.76
Eric Allender,1509002934.09
Tamara Denning,1508826433.77
Dejan Milutinovic,1508939569.75
Suzanne Stevenson,1508859700.21
E. Allen Emerson,1508967276.52
Jian-Xin Wu,1509029508.90
Christoph Riedl,1508821251.17
Hao Chen 0003,1508968873.60
Byung Guk Kim,1508954587.64
Anselm Blumer,1508954714.07
Tobias Ritschel,1509033926.88
Rezaul Alam Chowdhury,1508938424.85
Carsten Steger,1509032202.26
Ronald A. Olsson,1508929833.55
Vivek Srikumar,1508803767.31
Khaled Harfoush,1508926832.40
Ojaswa Sharma,1509076671.79
Paul T. Groth,1509033172.87
Bruce Hartpence,1508954121.26
Gennaro Costagliola,1509021262.72
Shriram Krishnamurthi,1508919217.07
Alex Delis,1509033027.49
Ke Chen 0005,1509032835.32
David Yau,1508966687.22
Kostis P. Michmizos,1508921837.07
Harry Buhrman,1509080016.00
Claudine Picaronny,1509027863.45
Jack H. Lutz,1508875932.44
Partha Pratim Talukdar,1509021397.00
Angela Arapoyanni,1509023537.19
Shi Li,1508924227.43
Yoav Goldberg,1509033088.79
Sergey Bratus,1508954490.05
Stephen Cooper,1508915282.38
Behnam Malakooti,1508954648.64
Antonio Cortes Rossello,1509031391.65
Pernille Bjørn,1509026841.88
Ashwini Patil,1509027230.11
Alex Brodsky,1509024769.10
Jarke J. van Wijk,1509029950.84
Silvio Micali,1508915460.99
Andrew B. Horner,1509035723.93
Peizhao Hu,1508966323.64
Jinxi Zhao,1509030538.25
Peter Alvaro,1508954382.34
Faraz Hasan,1509121691.30
Houman Homayoun,1508954430.26
Yoko Yamaguchi,1509033605.88
Teresa Maria Vazão,1509026767.31
Steven S. Lumetta,1509121624.02
Alexandros V. Gerbessiotis,1508954604.23
David Dagan Feng,1509032175.18
Paul D. Teal,1509026982.75
Robert Beiko,1508877518.50
Albert C. S. Chung,1509026932.68
Brenna Argall,1508954694.39
Xumin Liu,1508873608.57
Helle Hein,1509117743.68
Adam Morrison,1508859447.98
Nicole McFarlane,1508954589.23
Feilong Tang,1509026992.98
Amos Fiat,1508860697.46
Patrick Chiang,1508923494.35
Sergei N. Artëmov,1508871216.15
Brian Borowski,1508966315.78
Ifat Yasin,1509034185.53
Lennart Johnsson,1508954484.93
Renata Wassermann,1509115969.98
Evimaria Terzi,1509001653.02
Rafael Pass,1509001224.55
Jacopo Urbani,1509022133.12
Zbigniew Stachniak,1509017854.00
