name,affiliation,homepage,scholarid
Wei Zhang 0016,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2019,NOSCHOLARPAGE
Wei Zhang 0052,University of Connecticut,https://weizhang-gb.github.io/,a99cXi8AAAAJ
Wei Zhang 0056,East China Normal University,https://weizhangltt.github.io/,DKcduF0AAAAJ
Wei Zhang 0076,University of Central Florida,https://www.cs.ucf.edu/~wzhang,Zcd7W2sAAAAJ
Wei Zhang 0090,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=WZHANG1,lQQCQSUAAAAJ
Wei Zhang 0173,Shandong University,https://sduzhangwei.github.io,uJ65n8MAAAAJ
Wei Zhao 0019,Xidian University,https://faculty.xidian.edu.cn/ZW6/zh_CN/index.htm,OyzZmeAAAAAJ
Wei Zhao 0033,University of Aberdeen,https://www.abdn.ac.uk/people/wei.zhao,vQgXoPUAAAAJ
Wei Zhou 0024,Chongqing University,http://www.cse.cqu.edu.cn/info/2096/5097.htm,AfJ0xE4AAAAJ
Wei Zhu 0008,Stony Brook University,http://www.ams.stonybrook.edu/~zhu,9jshr6QAAAAJ
Wei-Chen Chiu,National Chiao Tung University,https://walonchiu.github.io,FiFOBS8AAAAJ
Wei-Cheng Xie 0001,Shenzhen University,http://csse.szu.edu.cn/en/peopleaa2d.html?109452,S2uh8OIAAAAJ
Wei-Chung Hsu,CUHK (SZ),https://sds.cuhk.edu.cn/en/teacher/1029,X_sk21QAAAAJ
Wei-Kai Lin,University of Virginia,https://weikailin.github.io/,UF-wXn0AAAAJ
Wei-Kuan Shih,National Tsing Hua University,https://sites.google.com/site/rtlabnthu/project-definition,NOSCHOLARPAGE
Wei-Long Zheng,Shanghai Jiao Tong University,https://weilongzheng.github.io/,MZXXe8UAAAAJ
Wei-Lun Chao,Ohio State University,http://www-scf.usc.edu/~weilunc,PGKakWwAAAAJ
Wei-Ming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE
Wei-Nan Zhang 0003,Harbin Institute of Technology,http://ir.hit.edu.cn/~wnzhang,DBLdEf4AAAAJ
Wei-Ngan Chin,National University of Singapore,https://www.comp.nus.edu.sg/~chinwn,DO2x-J0AAAAJ
Wei-Shi Zheng 0001,Sun Yat-sen University,http://www.isee-ai.cn/~zhwshi,AwqDDGoAAAAJ
Wei-Shinn Ku,Auburn University,http://www.eng.auburn.edu/~weishinn,ZQ87sO4AAAAJ
Wei-Ta Chu,National Cheng Kung University,http://www.csie.ncku.edu.tw/ncku_csie/depmember/teacherdetail/id/82,DcltNjQAAAAJ
Wei-Tek Tsai,Arizona State University,https://cidse.engineering.asu.edu/directory/tsai-wei-tek,NOSCHOLARPAGE
Wei-ming Lu 0001,Zhejiang University,http://mypage.zju.edu.cn/lwm,NOSCHOLARPAGE
Weibin Wu 0002,Sun Yat-sen University,http://sse.sysu.edu.cn/teacher/249,6mtEjCEAAAAJ
Weibo Gong,University of Massachusetts Amherst,https://ece.umass.edu/faculty/weibo-gong,NOSCHOLARPAGE
Weichang Du,University of New Brunswick,https://www.cs.unb.ca/~wdu,NOSCHOLARPAGE
Weichen Liu,Nanyang Technological University,https://personal.ntu.edu.sg/liu,UozjxW8AAAAJ
Weicheng Xie 0001,Shenzhen University,http://csse.szu.edu.cn/en/peopleaa2d.html?109452,S2uh8OIAAAAJ
Weidan Xiong,Shenzhen University,https://dianaxiong.github.io/,xzlA3EwAAAAJ
Weidong Cai 0001,University of Sydney,https://sydney.edu.au/engineering/about/our-people/academic-staff/tom-cai.html,N8qTc2AAAAAJ
Weidong Geng,Zhejiang University,http://mypage.zju.edu.cn/capggeng,NOSCHOLARPAGE
Weidong Liu 0001,Tsinghua University,http://www.tsinghua.edu.cn/publish/csen/4623/2010/20101224001537675975573/20101224001537675975573_.html,c3M0GZwAAAAJ
Weidong Shi,University of Houston,http://www.uh.edu/nsm/computer-science/people/spotlight/spotlights/2014/larry-shi.php,OmPAy2EAAAAJ
Weidong Zhao,Fudan University,http://www.cs.fudan.edu.cn/?page_id=2038,NOSCHOLARPAGE
Weifa Liang,City University of Hong Kong,https://www.cs.cityu.edu.hk/~weliang,X1aZEfwAAAAJ
Weifeng Lv,Beihang University,http://scse.buaa.edu.cn/info/1078/2658.htm,NOSCHOLARPAGE
Weigang Li 0001,Universidade de Brasília,http://cic.unb.br/~weigang,Sw_i7yQAAAAJ
Weigang Zhang,Harbin Institute of Technology,http://homepage.hit.edu.cn/zhangweigang,4bm5wYUAAAAJ
Weiguo Zheng,Fudan University,https://weiguozheng.github.io/index-en.html,_ZHW2goAAAAJ
Weihang Wang 0001,University of Southern California,https://weihang-wang.github.io,MkPz_FoAAAAJ
