name,date
Chris Biemann,1482289573.28
Russ Miller,1482289573.44
Jørgen P. Bansler,1482289574.59
Daniel Mossé,1482289575.46
Tajana Simunic,1482289575.67
Tolga Tasdizen,1482289575.99
Bechir Hamdaoui,1482289576.61
Ahmed Sameh,1482289577.15
Patricia Riddle,1482289580.10
Abdou Youssef,1482289580.53
Jurriaan Rot,1482289580.85
Eugenia Ternovskaia,1482289581.48
Haoqi Zhang,1482289581.99
Nicholas J. A. Harvey,1482289582.30
J. Eliot B. Moss,1482289582.45
Matthew A. Turk,1482289582.78
Wei Vivian Liu,1482289585.70
Samira Manabi Khan,1482289589.17
Matthias Hollick,1482289590.10
Adam Klivans,1482289590.70
Heiko Mantel,1482289591.16
Karthik Dantu,1482289591.29
Brenna Argall,1482289591.75
Jens Gregor,1482289592.06
Ke Wang,1482289592.30
Martin Fürer,1482289592.48
Gena Hahn,1482289592.58
Matthew Green 0001,1482289592.84
Fei-Fei Li,1482289593.23
Seffi Naor,1482289593.83
Er-Chien Wang,1482289597.06
Boris Köpf,1482289597.38
César Sánchez,1482289597.70
Saeid Mehrkanoon,1482289598.29
Rumi Chunara,1482289598.44
Kay Connelly,1482289599.23
Sugih Jamin,1482289599.34
Sunil Lal,1482289601.69
Georg Gottlob,1482289602.41
Warren A. Hunt Jr.,1482289602.60
Rob Miller,1482289602.98
Marian-Andrei Rizoiu,1482289606.27
Jeffrey Heer,1482289606.56
Bonnie Berger,1482289606.71
Thomas Huckle,1482289607.54
Marek J. Sergot,1482289611.39
Adrian R. Vetta,1482289611.67
Beichuan Zhang,1482289615.54
Herbert Edelsbrunner,1482289616.87
Anthony Busson,1482289617.43
Hon-Wai Leong,1482289620.11
Bryan S. Morse,1482289620.62
Rami G. Melhem,1482289620.85
Odelia Schwartz,1482289621.19
Javed A. Aslam,1482289621.28
Babak Falsafi,1482289621.68
Chris Evans,1482289625.16
Wolfgang Banzhaf,1482289625.64
Alan Kaminsky,1482289625.81
Apurv Kumar,1482289628.57
Thomas F. Wenisch,1482289628.67
Fernando E. B. Otero,1482289631.47
Kasturi R. Varadarajan,1482289631.64
Arunabha Sen,1482289692.10
Udaya Parampalli,1482289693.22
Shachar Lovett,1482289693.43
Qing Wang,1482289694.39
Lawrence J. Henschen,1482289694.63
D. C. Douglas Hung,1482289694.95
Daniel Cohen-Or,1482289695.53
