name,affiliation,homepage,scholarid,orcid
Carina Frota Alves,UFPE,https://www.cin.ufpe.br/~cfa,qrsfaXoAAAAJ,0000-0000-0000-0000
Carl A. Gunter,Univ. of Illinois at Urbana-Champaign,http://web.engr.illinois.edu/~cgunter,3S5qpXsAAAAJ,0000-0000-0000-0000
Carl A. Gutwin,University of Saskatchewan,https://www.cs.usask.ca/faculty/gutwin,ZWsIEYcAAAAJ,0000-0000-0000-0000
Carl DiSalvo,Georgia Institute of Technology,https://www.carldisalvo.com,YR1EmaAAAAAJ,0000-0002-7344-8741
Carl Evans,Middlesex University,http://www.cs.mdx.ac.uk/people/carl-evans,NOSCHOLARPAGE,0000-0002-3109-595X
Carl Gutwin,University of Saskatchewan,https://www.cs.usask.ca/faculty/gutwin,ZWsIEYcAAAAJ,0000-0003-4470-9495
Carl H. Hauser,Washington State University,http://www.eecs.wsu.edu/~hauser,NOSCHOLARPAGE,0000-0000-0000-0000
Carl Hauser,Washington State University,http://www.eecs.wsu.edu/~hauser,NOSCHOLARPAGE,0000-0000-0000-0000
Carl Henrik Ek,University of Cambridge,http://carlhenrik.com,9yQ1tQoAAAAJ,0000-0003-1302-6309
Carl James-Reynolds,Middlesex University,https://www.mdx.ac.uk/about-us/our-people/staff-directory/profile/james-reynolds-carl,NOSCHOLARPAGE,0000-0002-5892-5415
Carl K. Chang,Iowa State University,http://www.cs.iastate.edu/people/carl-chang,0IHc9DUAAAAJ,0000-0000-0000-0000
Carl Kingsford,Carnegie Mellon University,http://www.cs.cmu.edu/~ckingsf,V_cvqKcAAAAJ,0000-0002-0118-5516
Carl Leuschen,University of Kansas,http://www.eecs.ku.edu/people/faculty/leuschen,NOSCHOLARPAGE,0000-0000-0000-0000
Carl Magnus Olsson,Malmö University,https://mau.se/en/persons/carl.magnus.olsson,qYiNUUQAAAAJ,0000-0002-4261-281X
Carl Nettelblad,Uppsala University,https://katalog.uu.se/empinfo/?id=N6-1341,O6RHmDcAAAAJ,0000-0003-0458-6902
Carl Vondrick,Columbia University,http://www.cs.columbia.edu/~vondrick,3MzhkFIAAAAJ,0000-0000-0000-0000
Carl Yang 0001,Emory University,http://www.cs.emory.edu/~jyang71,mOINlwcAAAAJ,0000-0001-9145-4531
Carl-Philipp Heisenberg,IST Austria,https://ist.ac.at/research/research-groups/heisenberg-group,NOSCHOLARPAGE,0000-0000-0000-0000
Carla D. Savage,North Carolina State University,http://www4.ncsu.edu/~savage,NOSCHOLARPAGE,0000-0000-0000-0000
Carla E. Brodley,Northeastern University,http://www.ccis.northeastern.edu/people/carla-brodley,sQ8u6h4AAAAJ,0009-0008-2134-6285
Carla F. Griggio,Aalborg University,https://carlagriggio.com,1S79G5AAAAAJ,0000-0001-9133-3828
Carla Ferreira 0001,Universidade NOVA de Lisboa,http://ctp.di.fct.unl.pt/~cf,l7GG8NoAAAAJ,0000-0003-3680-7634
Carla M. D. S. Freitas,UFRGS,http://www.inf.ufrgs.br/~carla,p1oaXwoAAAAJ,0000-0003-1986-8435
Carla Maria Dal Sasso Freitas,UFRGS,http://www.inf.ufrgs.br/~carla,p1oaXwoAAAAJ,0000-0003-1986-8435
Carla P. Gomes,Cornell University,http://www.cs.cornell.edu/gomes,3hdbdBoAAAAJ,0000-0000-0000-0000
Carla Schuenemann,UFPE,http://www.cin.ufpe.br/~ctlls,G-6XtcIAAAAJ,0000-0000-0000-0000
Carla Silva 0001,UFPE,https://www.cin.ufpe.br/~ctlls,G-6XtcIAAAAJ,0000-0000-0000-0000
Carla T. L. L. Silva,UFPE,http://www.cin.ufpe.br/~ctlls,G-6XtcIAAAAJ,0000-0000-0000-0000
Carla Taciana Lima Lourenco Silva Schuenemann,UFPE,http://www.cin.ufpe.br/~ctlls,G-6XtcIAAAAJ,0000-0000-0000-0000
Carleton A. Moore,University of Hawaii at Manoa,http://www.ics.hawaii.edu/people/carleton-moore,NOSCHOLARPAGE,0000-0000-0000-0000
Carlisle Adams,University of Ottawa,http://www.site.uottawa.ca/~cadams,w1VhqyoAAAAJ,0000-0000-0000-0000
Carlisle Elwidge George,Middlesex University,http://www.eis.mdx.ac.uk/staffpages/cgeorge,NOSCHOLARPAGE,0000-0000-0000-0000
Carlisle M. Adams,University of Ottawa,http://www.site.uottawa.ca/~cadams,w1VhqyoAAAAJ,0000-0000-0000-0000
Carlo A. Furia,Università della Svizzera italiana,http://bugcounting.net,pqbv1BAAAAAJ,0000-0003-1040-3201
Carlo Alberto Furia,Università della Svizzera italiana,http://bugcounting.net,pqbv1BAAAAAJ,0000-0000-0000-0000
Carlo Angiuli,Indiana University,https://www.carloangiuli.com,eM1H0SwAAAAJ,0000-0002-9590-3303
Carlo Baldassi,Bocconi University,http://didattica.unibocconi.eu/docenti/cv.php?rif=195030,DYUloYkAAAAJ,0000-0002-5451-8388
Carlo Blundo,University of Salerno,http://www.di.unisa.it/~carblu,8D_2sMwAAAAJ,0000-0002-8225-3401
Carlo Brandolese,Politecnico di Milano,http://home.deib.polimi.it/brandolese,NyplYssAAAAJ,0000-0001-6320-122X
Carlo D'Eramo,University of Würzburg,https://www.informatik.uni-wuerzburg.de/rlcdm/team/carlo-deramo,1Rt_86gAAAAJ,0000-0003-2712-118X
Carlo Fischione,KTH Royal Inst. of Technology,https://www.kth.se/profile/carlofi,RWGj7esAAAAJ,0000-0001-9810-3478
Carlo Kopp,Monash University,https://research.monash.edu/en/persons/carlo-kopp,XJ4CZmgAAAAJ,0000-0003-0742-3383
Carlo Lucibello,Bocconi University,http://faculty.unibocconi.eu/carlolucibello,1IPn2HgAAAAJ,0000-0000-0000-0000
Carlo Pinciroli,Worcester Polytechnic Institute,https://www.wpi.edu/people/faculty/cpinciroli,aE8woBcAAAAJ,0000-0002-2155-0445
Carlo Tomasi,Duke University,https://users.cs.duke.edu/~tomasi,xViwZ0QAAAAJ,0000-0001-6104-6641
Carlos A. B. Mello,UFPE,https://www.cin.ufpe.br/~cabm,2MN8MGwAAAAJ,0000-0000-0000-0000
Carlos A. G. Ferraz,UFPE,http://www.cin.ufpe.br/~cagf,x3A_-ugAAAAJ,0000-0000-0000-0000
Carlos A. J. Martinhon,UFF,http://www2.ic.uff.br/~mart,343VizIAAAAJ,0000-0000-0000-0000
Carlos A. Pérez-Delgado,University of Kent,https://www.cs.kent.ac.uk/people/staff/cd472,NOSCHOLARPAGE,0000-0000-0000-0000
Carlos A. Varela,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~cvarela,2jD9mYEAAAAJ,0000-0003-4708-3109
Carlos Alberto Maziero,UFPR,http://wiki.inf.ufpr.br/maziero/doku.php,uwOXXv93HFcC,0000-0000-0000-0000
Carlos Alberto de Jesus Martinhon,UFF,http://www2.ic.uff.br/~mart,343VizIAAAAJ,0000-0000-0000-0000
Carlos Alexandre Barros Mello,UFPE,https://www.cin.ufpe.br/~cabm,2MN8MGwAAAAJ,0000-0000-0000-0000
Carlos André Guimarães Ferraz,UFPE,https://lattes.cnpq.br/7716805104151473,x3A_-ugAAAAJ,0000-0000-0000-0000
Carlos Areces,Universidad Nacional de Córdoba,https://cs.famaf.unc.edu.ar/~careces,Ku5jaRkAAAAJ,0000-0001-7845-8503
Carlos Beltrán Almeida,Universidade de Lisboa,http://www.fd.ulisboa.pt/professores/corpo-docente,eeHc8KYAAAAJ,0000-0000-0000-0000
Carlos Caleiro,Universidade de Lisboa,http://sqig.math.ist.utl.pt/ccal,YnVAMh4AAAAJ,0000-0001-5587-6585
