name,affiliation,homepage,scholarid
Idris Skloul Ibrahim,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/idris-ibrahim.htm,NOSCHOLARPAGE
Ifat Yasin,University College London,http://www.cs.ucl.ac.uk/cs_people/I.Yasin.html,NOSCHOLARPAGE
Ifeoma Nwogu,University at Buffalo,https://cubs.buffalo.edu/~inwogu,pCOmTY0AAAAJ
Iftach Haitner,Tel Aviv University,http://www.cs.tau.ac.il/~iftachh,EdV8gVgAAAAJ
Iftekhar Ahmed 0001,Univ. of California - Irvine,https://www.ics.uci.edu/~iftekha,_TdMD7sAAAAJ
Ignacio Cascudo,IMDEA Software Institute,http://software.imdea.org/~ignacio.cascudo,rOOEx5cAAAAJ
Ignacio Cascudo Pueyo,IMDEA Software Institute,http://software.imdea.org/~ignacio.cascudo,rOOEx5cAAAAJ
Ignacio Castro,Queen Mary University of London,https://icastro.info/,WXj6ZtcAAAAJ
Ignaz Rutter,TU Eindhoven,http://i11www.iti.uni-karlsruhe.de/members/ignaz_rutter,BXLsurkAAAAJ
Igor A. Semaev,University of Bergen,https://www.uib.no/en/persons/Igor.A..Semaev,NOSCHOLARPAGE
Igor C. Oliveira,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/igor_carboni_oliveira,aaGW2qwAAAAJ
Igor Carboni Oliveira,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/igor_carboni_oliveira,aaGW2qwAAAAJ
Igor Fabio Steinmacher,Northern Arizona University,http://www.igor.pro.br,I8o8rfoAAAAJ
Igor Gilitschenski,University of Toronto,https://www.gilitschenski.org/igor/,Nuw1Y4oAAAAJ
Igor Goryanin,University of Edinburgh,https://www.inf.ed.ac.uk/people/staff/Igor_Goryanin.html,E-duT6oAAAAJ
Igor L. Markov,University of Michigan,http://web.eecs.umich.edu/~imarkov,CHIZtZAAAAAJ
Igor M. Moraes,UFF,http://www2.ic.uff.br/~igor,zFaRYScAAAAJ
Igor Melatti,Sapienza University of Rome,http://wwwusers.di.uniroma1.it/~melatti,mehmJloAAAAJ
Igor Molybog,University of Hawaii at Manoa,https://igormolybog.github.io/,aJUg17UAAAAJ
Igor Monteiro Moraes,UFF,http://www2.ic.uff.br/~igor,zFaRYScAAAAJ
Igor Pivkin,Università della Svizzera italiana,http://search.usi.ch/people/69388d464acadfb430a54e28f2c46a7c/Pivkin-Igor,WBeoafIAAAAJ
Igor Potapov,University of Liverpool,http://www.csc.liv.ac.uk/~igor,zdGjSYAAAAAJ
Igor Razgon,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/igor,SR_OhscAAAAJ
Igor Shinkar,Simon Fraser University,https://www.cs.sfu.ca/~ishinkar,NL4V2GMAAAAJ
Igor Steinmacher,Northern Arizona University,http://www.igor.pro.br,I8o8rfoAAAAJ
Igor V. Pivkin,Università della Svizzera italiana,http://search.usi.ch/people/69388d464acadfb430a54e28f2c46a7c/Pivkin-Igor,WBeoafIAAAAJ
Ihab F. Ilyas,University of Waterloo,https://cs.uwaterloo.ca/~ilyas,YG6mTEIAAAAJ
Ihab Francis Ilyas,University of Waterloo,https://cs.uwaterloo.ca/~ilyas,YG6mTEIAAAAJ
Ihsan Ayyub Qazi,LUMS,http://web.lums.edu.pk/~ihsan,lVzlcmUAAAAJ
Ihsen Alouani,Queen's University Belfast,https://pure.qub.ac.uk/en/persons/ihsen-alouani,TlPSaC0AAAAJ
Ikkaku Kawaguchi,University of Tsukuba,https://sites.google.com/view/ikkakukawaguchi/e-home,NOSCHOLARPAGE
Ikushi Yoda,University of Tsukuba,https://staff.aist.go.jp/i-yoda,NOSCHOLARPAGE
Il Kon Kim,Kyungpook National University,http://www.ihis.or.kr,aCgpEqcAAAAJ
Il-Chul Moon,KAIST,https://aai.kaist.ac.kr,23AxIc0AAAAJ
Ilaiah Kavati,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16882,umhXvhgAAAAJ
Ilan Komargodski,Hebrew University of Jerusalem,https://www.cs.huji.ac.il/~ilank,WYTugmIAAAAJ
Ilan Newman,University of Haifa,http://cs.haifa.ac.il/~ilan,dxWoV3UAAAAJ
Ilario Filippini,Politecnico di Milano,http://home.deib.polimi.it/filippini,spXlyVwAAAAJ
Ilia Polian,University of Stuttgart,http://www.iti.uni-stuttgart.de/en/institute-of-computer-architecture-and-computer-engineering.html,LKDRgp0AAAAJ
Ilias Diakonikolas,University of Wisconsin - Madison,http://www.iliasdiakonikolas.org,Vb3FLmkAAAAJ
Ilias G. Maglogiannis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/imaglo-en,RXF4kxsAAAAJ
Ilias Maglogiannis,University of Piraeus,https://www.ds.unipi.gr/en/faculty/imaglo-en,RXF4kxsAAAAJ
