name,affiliation,homepage,scholarid,orcid
Eduardo Bonelli,Stevens Institute of Technology,https://www.cs.stevens.edu/~ebonelli,EGjxtngAAAAJ,0000-0003-1856-2856
Eduardo C. Xavier,UNICAMP,http://www.ic.unicamp.br/~ecx,JMx0rAMAAAAJ,0000-0000-0000-0000
Eduardo Candido Xavier,UNICAMP,http://www.ic.unicamp.br/~ecx,JMx0rAMAAAAJ,0000-0000-0000-0000
Eduardo Cotilla Sanchez,Oregon State University,http://eecs.oregonstate.edu/people/cotilla-sanchez-eduardo,tEN0VeMAAAAJ,0000-0000-0000-0000
Eduardo Cunha De Almeida,UFPR,https://www.inf.ufpr.br/eduardo,gHAq6Y0AAAAJ,0000-0000-0000-0000
Eduardo E. Veas,Graz University of Technology,https://www.tugraz.at/institutes/icg/institute/people,-78yV4YAAAAJ,0000-0002-0356-4034
Eduardo Fernández,Florida Atlantic University,http://faculty.eng.fau.edu/fernande,OAfHG7QAAAAJ,0000-0000-0000-0000
Eduardo Figueiredo 0001,UFMG,http://homepages.dcc.ufmg.br/~figueiredo,3sxP3E4AAAAJ,0000-0002-6004-2718
Eduardo Izquierdo 0001,Indiana University,http://mypage.iu.edu/~edizquie,KWCQjl0AAAAJ,0000-0002-2008-290X
Eduardo Izquierdo-Torres,Indiana University,http://mypage.iu.edu/~edizquie,KWCQjl0AAAAJ,0000-0000-0000-0000
Eduardo J. Izquierdo 0001,Indiana University,http://mypage.iu.edu/~edizquie,KWCQjl0AAAAJ,0000-0000-0000-0000
Eduardo Jaques Spinosa,UFPR,https://www.inf.ufpr.br/spinosa,AKUQhBYAAAAJ,0000-0000-0000-0000
Eduardo Magno Lages Figueiredo,UFMG,http://homepages.dcc.ufmg.br/~figueiredo,3sxP3E4AAAAJ,0000-0000-0000-0000
Eduardo Marques,USP-ICMC,http://icmc.usp.br/pessoas?id=178099,NOSCHOLARPAGE,0000-0000-0000-0000
Eduardo Mosqueira-Rey,University of A Coruña,https://pdi.udc.es/en/File/Pdi/4249E,SLExnjkAAAAJ,0000-0000-0000-0000
Eduardo N. Borges,Federal University of Rio Grande,http://www.eduardo.c3.furg.br,DF7aOYMAAAAJ,0000-0000-0000-0000
Eduardo Nunes Borges,Federal University of Rio Grande,http://www.eduardo.c3.furg.br,DF7aOYMAAAAJ,0000-0000-0000-0000
Eduardo Oliveira 0001,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/653031-eduardo-araujo-oliveira,WxcwAEIAAAAJ,0000-0001-5063-8860
Eduardo R. Hruschka,USP-ICMC,http://icmc.usp.br/pessoas?id=11216567,KGgOhbAAAAAJ,0000-0000-0000-0000
Eduardo Raul Hruschka,USP-ICMC,http://icmc.usp.br/pessoas?id=11216567,KGgOhbAAAAAJ,0000-0000-0000-0000
Eduardo Sany Laber,PUC-RIO,http://www-di.inf.puc-rio.br/~laber,NOSCHOLARPAGE,0000-0000-0000-0000
