name,homepage
Aleksandar D. Rakic , http://researchers.uq.edu.au/researcher/473
Aleksandar Ignjatovic , http://www.cse.unsw.com/~ignjat/
Aleksandar Kuzmanovic,http://www.cs.northwestern.edu/~akuzma/
Aleksandar Nikolov,http://www.cs.toronto.edu/~anikolov/
Aleksander Madry,https://people.csail.mit.edu/madry/
Aleksandra Korolova,http://viterbi.usc.edu/academics/faculty/faculty-directory/profile.php?faculty=korolova_aleksandra.xml
Aleksy Schubert,http://www.mimuw.edu.pl/~alx/
Alessandra Russo,http://www.imperial.ac.uk/people/a.russo
Alessandra Scafuro , http://cs-people.bu.edu/scafuro/
Alessandro Abate,https://www.cs.ox.ac.uk/people/alessandro.abate/
Alessandro Orso,http://www.cc.gatech.edu/home/orso/
Alessandro Salandrino,http://www.eecs.ku.edu/people/faculty/asalandr/
Alessandro Vespignani,http://www.mobs-lab.org/alessandro-vespignani.html
Alessio Lomuscio,http://www.doc.ic.ac.uk/~alessio/
Alessio R. Lomuscio,http://www.doc.ic.ac.uk/~alessio/
Alex Aiken,https://theory.stanford.edu/~aiken/
Alex Alves Freitas,https://www.cs.kent.ac.uk/people/staff/aaf/
Alex Biryukov,http://wwwen.uni.lu/snt/people/alex_biryukov
Alex C. Snoeren,http://cseweb.ucsd.edu/~snoeren/
Alex David Groce,http://eecs.oregonstate.edu/people/groce-alex
Alex Endert,http://va.gatech.edu/endert/
Alex Groce,http://eecs.oregonstate.edu/people/groce-alex
Alex Kirlik,https://cs.illinois.edu/directory/profile/kirlik
Alex Lascarides,http://homepages.inf.ed.ac.uk/alex/
Alex Liu,http://www.cse.msu.edu/~alexliu/
Alex Lopez-Lorca , http://people.eng.unimelb.edu.au/tmiller/
Alex López-Ortiz,https://cs.uwaterloo.ca/~alopez-o/
Alex Nicolau,http://www.ics.uci.edu/~nicolau/
Alex Orailoglu,http://cseweb.ucsd.edu/~alex/
Alex Pang,https://users.soe.ucsc.edu/~pang/
Alex Potanin , http://ecs.victoria.ac.nz/Main/AlexPotanin
Alex Pothen,https://www.cs.purdue.edu/people/faculty/apothen/
Alex Rogers,http://www.zoo.ox.ac.uk/people/view/rogers_ad.htm
Alex Samorodnitsky,http://www.cs.huji.ac.il/~salex/
Alex T. Pang,https://users.soe.ucsc.edu/~pang/
Alex Waibel,http://www.cs.cmu.edu/~ahw/
Alexander A. Razborov,http://people.cs.uchicago.edu/~razborov/
Alexander A. Sherstov,http://www.cs.ucla.edu/~sherstov/
Alexander Aiken,https://theory.stanford.edu/~aiken/
Alexander Borgida,https://www.cs.rutgers.edu/~borgida/
Alexander Brodsky,https://cs.gmu.edu/~brodsky/
Alexander C. Berg,http://acberg.com/
Alexander Endert,http://va.gatech.edu/endert/
Alexander G. Gray,http://www.cs.cmu.edu/~agray/
Alexander H. Waibel,http://www.cs.cmu.edu/~ahw/
Alexander Herzog,http://www.alexherzog.net/
Alexander J. Hartemink,https://users.cs.duke.edu/~amink/
Alexander Kain,http://www.google.com/search?q=Alexander%20Kain%20OHSU&btnI
Alexander Kemper,https://www-db.in.tum.de/~kemper/
Alexander L. Wolf,https://www.doc.ic.ac.uk/~alw/
Alexander Lex,http://alexander-lex.net/
Alexander M. Bronstein,http://www.cs.technion.ac.il/~bron/
Alexander M. Rush,http://rush.seas.harvard.edu/
Alexander Moshe Rabinovich,http://www.cs.tau.ac.il/~rabinoa/
Alexander Pretschner,https://www22.in.tum.de/en/mitarbeiter/pretschner/
Alexander Pudmenzky , http://researchers.uq.edu.au/researcher/804
Alexander Rabinovich,http://www.cs.tau.ac.il/~rabinoa/
Alexander Rakhlin,http://www-stat.wharton.upenn.edu/~rakhlin/
Alexander Russell,http://www.engr.uconn.edu/~acr/
Alexander Schill,http://www.inf.tu-dresden.de/index.php?node_id=588
Alexander Schliep,http://www.cs.rutgers.edu/~schliep/
Alexander Schwarzmann,http://www.engr.uconn.edu/~aas/
Alexander T. Ihler,http://www.ics.uci.edu/~ihler/
Alexander V. Veidenbaum,http://www.ics.uci.edu/~alexv/
Alexander Wolf,http://news.ucsc.edu/2016/01/engineering-dean.html
Alexandr Andoni,http://datascience.columbia.edu/alex-andoni
Alexandra Boldyreva,http://www.cc.gatech.edu/~aboldyre/
Alexandra Kolla,http://akolla.cs.illinois.edu/
Alexandra Meliou,http://people.cs.umass.edu/~ameli/
Alexandra Silva,http://www.alexandrasilva.org/
Alexandre Megretski,https://lids.mit.edu/people/facultypi/alexandre-megretski
Alexandre d'Aspremont,http://www.di.ens.fr/~aspremon/
Alexandros Kapravelos , https://www.kapravelos.com/
Alexandros Labrinidis,http://cs.pitt.edu/~labrinid/
Alexandros V. Gerbessiotis,http://cs.njit.edu/~alexg/
Alexandru Nicolau,http://www.ics.uci.edu/~nicolau/
Alexei A. Efros,http://www.eecs.berkeley.edu/~efros/
Alexei Drummond , https://www.compevol.auckland.ac.nz/dr-alexei-drummond
Alexei J. Drummond , https://www.compevol.auckland.ac.nz/dr-alexei-drummond
Alexey Onufriev,http://people.cs.vt.edu/onufriev/
Alexis Battle,http://battlelab.jhu.edu/
Alf Weaver,https://www.cs.virginia.edu/people/faculty/weaver.html
Alfonso F. Cardenas,http://www.cs.ucla.edu/~cardenas/
Alfred C. Weaver,https://www.cs.virginia.edu/people/faculty/weaver.html
Alfred Kobsa,http://www.ics.uci.edu/~kobsa/
Alfred Krzywicki , http://www.google.com/search?q=Alfred%20Krzywicki%20UNSW&btnI
Alfred L. Brown , http://www.google.com/search?q=Alfred%20L.%20Brown%20University%20of%20Adelaide&btnI
Alfred M. Bruckstein,http://www.cs.technion.ac.il/~freddy/
Alfred O. Hero III,http://web.eecs.umich.edu/~hero/
Alfred Olivier Hero,http://web.eecs.umich.edu/~hero/cv_current.pdf
Alfred V. Aho,http://www.cs.columbia.edu/~aho/
Ali Farhadi,https://homes.cs.washington.edu/~ali/
Ali Mehrizi-Sani,http://eecs.wsu.edu/~mehrizi/
Ali Mili,https://web.njit.edu/~mili/
Ali Orooji,http://www.google.com/search?q=Ali%20Orooji%20University%20of%20Central%20Florida&btnI
Ali Raza Butt,http://people.cs.vt.edu/butta/
Ali Saberi,http://school.eecs.wsu.edu/faculty/saberi
Ali Shokoufandeh,http://drexel.edu/cci/contact/Faculty/Shokoufandeh-Ali/
Alin Albu-Schäffer,https://www.professoren.tum.de/en/albu-schaeffer-alin/
Alin Deutsch,http://db.ucsd.edu/People/alin/
Alin Dobra,http://www.cise.ufl.edu/~adobra/
Alin Olimpiu Albu-Schäffer,http://www23.in.tum.de/index.php?id=6023
Alina Oprea , http://www.google.com/search?q=Alina%20Oprea%20Northeastern%20University&btnI
Alireza Entezari,https://www.cise.ufl.edu/people/faculty/entezari
Alison Hill,http://www.ohsu.edu/xd/education/schools/school-of-medicine/departments/basic-science-departments/csee/csee-people/hill.cfm
Alistair Knott , http://www.cs.otago.ac.nz/staffpriv/alik/
Alistair Moffat , http://people.eng.unimelb.edu.au/ammoffat/
Alistair P. Rendell,https://cs.anu.edu.au/people/alistair-rendell
Alistair Sinclair,http://www.cs.berkeley.edu/~sinclair/
Alla Sheffer,http://www.cs.ubc.ca/~sheffa/
Allan Borodin,http://www.cs.toronto.edu/~bor/
Allan D. Jepson,http://www.cs.toronto.edu/~jepson/
Allan Gottlieb,http://cs.nyu.edu/~gottlieb/
Allen D. Malony,https://www.cs.uoregon.edu/People/Faculty/Allen_Malony.php
Allen Tannenbaum,http://www.iacs.stonybrook.edu/people/affiliates/allen-tannenbaum
Allen Van Gelder,https://users.soe.ucsc.edu/~avg/
Allison B. Lewko,http://www.cs.columbia.edu/~allison/
Allison Bishop Lewko,http://www.cs.columbia.edu/~allison/
Allison Bishop,http://www.cs.columbia.edu/~allison/
Alois C. Knoll,http://www6.in.tum.de/Main/Knoll
Alois Knoll,http://www6.in.tum.de/Main/Knoll
Alok N. Choudhary,http://www.eecs.northwestern.edu/~choudhar
Alon Efrat,http://www.cs.arizona.edu/people/alon/
Alon Nilli,https://en.wikipedia.org/wiki/Noga_Alon
Alonzo Kelly,http://www.frc.ri.cmu.edu/users/alonzo/
Aloysius K. Mok,https://www.cs.utexas.edu/users/mok/
Alper Üngör,https://www.cise.ufl.edu/people/faculty/ungor
Alva L. Couch,http://www.cs.tufts.edu/~couch/
Alvaro A. Cárdenas,http://www.utdallas.edu/~alvaro.cardenas
Alvaro Cardenas,http://www.utdallas.edu/~alvaro.cardenas
Alvin Cheung,https://homes.cs.washington.edu/~akcheung/
Alvin R. Lebeck,https://users.cs.duke.edu/~alvy/
Alvin S. Lim,http://www.eng.auburn.edu/~lim/
Aly E. Fathy,http://www.google.com/search?q=Aly%20E.%20Fathy%20University%20of%20Tennessee&btnI
Alyosha A. Efros,http://www.eecs.berkeley.edu/~efros/
Amal Ahmed,http://www.ccs.neu.edu/home/amal/
Amal J. Ahmed,http://www.ccs.neu.edu/home/amal/
Amali Weerasinghe , http://www.adelaide.edu.au/directory/amali.weerasinghe
Amarda Shehu,https://cs.gmu.edu/~ashehu/
Ambuj K. Singh,https://www.cs.ucsb.edu/~ambuj/
Ameet Talwalkar,http://www.cs.ucla.edu/~ameet/
