A. C. W. Finkelstein,Anthony Finkelstein
Barbara Mary Chapman,Barbara M. Chapman
Barbora Zimmerova,Barbora Buhnova
Baris Akgun,Baris Akgün
Barry Jay,C. Barry Jay
Bart Piet Knijnenburg,Bart P. Knijnenburg
Bartek Blaszczyszyn,Bartlomiej Blaszczyszyn
Bassam Hammo,Bassam H. Hammo
Bastian Goldluecke,Bastian Goldlücke
Behrooz A. Shirazi,Behrooz Shirazi
Beki Grinter,Rebecca E. Grinter
Belgin Ergenc,Belgin Ergenç
Belgin Ergenç Bostanoglu,Belgin Ergenç
Belgin Ozakar,Belgin Ergenç
Ben Li,Pak Ching Li
Ben Recht,Benjamin Recht
Ben W. Reichardt,Ben Reichardt
Benjamin A. Carterette,Ben Carterette
Benjamin Adam Raichel,Benjamin Raichel
Benjamin David Van Durme,Benjamin Van Durme
Benjamin J. Belzer,Benjamin Belzer
Benjamin M. Glocker,Ben Glocker
Benjamin Marlin,Benjamin M. Marlin
Benjamin Stock,Ben Stock
Benjamin Swift,Ben Swift
Benjamin W. Fuller,Benjamin Fuller
Benjamin Wan-Sang Wah,Benjamin W. Wah
Berk Ustundag,B. Berk Ustundag
Bernard Marie Chazelle,Bernard Chazelle
Bernard Menezes,Bernard L. Menezes
Bernardo David,Bernardo Machado David
Bernardus Juurlink,Ben H. H. Juurlink
Bernd Bruegge,Bernd Brügge
Bernd-Holger Schlingloff,Holger Schlingloff
Bert C. Huang,Bert Huang
Berthold Klaus Paul Horn,Berthold K. P. Horn
Beth A. Plale,Beth Plale
Beth Mynatt,Elizabeth D. Mynatt
Betsy DiSalvo,Betsy James DiSalvo
Bheemarjuna Reddy Tamma,Tamma Bheemarjuna Reddy
Bhojan Anand,Anand Bhojan
Bhubaneswar Mishra,Bud Mishra
Bianca Schröder,Bianca Schroeder
Bill Aiello,William Aiello
Bill Barrett,William A. Barrett
Bill Dally,William J. Dally
Bill Freeman,William T. Freeman
Bill Gropp,William Gropp
Bill Roscoe,A. W. Roscoe
Bill Scherlis,William L. Scherlis
Binay Bhattacharya,Binay K. Bhattacharya
Birna van Riemsdijk,M. Birna van Riemsdijk
Bistra Dilkina,Bistra N. Dilkina
Bjoern Hartmann,Björn Hartmann
Bjoern Holger Menze,Bjoern H. Menze
Bjoern Schuller,Björn W. Schuller
Björn Bernhard Brandenburg,Björn B. Brandenburg
Björn H. Menze,Bjoern H. Menze
Bob Fisher,Robert B. Fisher
Bob McKay,Robert I. McKay
Bob Sedgewick,Robert Sedgewick
Bobak J. Mortazavi,Bobak Mortazavi
Bobak Jack Mortazavi,Bobak Mortazavi
Bonnie Lynn Webber,Bonnie L. Webber
Bonnie Nash-Webber,Bonnie L. Webber
Brad T. Vander Zanden,Bradley T. Vander Zanden
Bradford Gregory John Heap,Bradford Heap
Brendan A. Juba,Brendan Juba
Brendan O'Connor,Brendan T. O'Connor
Brenna D. Argall,Brenna Argall
Brent R. Waters,Brent Waters
Bret Michael,James Bret Michael
Brian C. Keegan,Brian Keegan
Brian David Outram Anderson,Brian D. O. Anderson
Brian Mak,Brian Kan-Wing Mak
Brian Noble,Brian D. Noble
Briane Paul V. Samson,Briane Paul Samson
Brittany Fasy,Brittany Terese Fasy
